t	id	x	y	v
2553	fc52e389-5236-471b-9923-8b5b1ef63042	423.0701835864804	30.0	0.0
2553	8f870899-d966-4514-ac79-510120c95f7d	413.9023127623846	30.0	0.0
2553	5d3ad36d-0c23-48f8-9558-6478bdfd5b28	404.67812140298975	30.0	0.0
2553	5f328032-bed1-4878-ab3e-afd2a79f0791	395.5121656613541	30.0	0.0
2553	7109fdad-72c8-4e5f-9e26-c196e199cb73	386.28549334141616	30.0	0.0
2553	f7d306d9-bd99-421a-9d4d-01e006c2be51	377.1188574082626	30.0	0.0
2553	8d87829c-a9bd-40f2-b2f0-5bf61c1cc11e	367.9063599849144	30.0	0.0
2553	08cc5f88-2f20-4468-a4cb-f762bf59155c	358.73416859618385	30.0	0.0
2553	09ea4c9b-fdd8-428e-a194-f5f55a199dd6	349.5501299176101	30.0	0.0
2553	80a01866-1683-405e-8b3f-c90e70d2fb79	340.3618360257219	30.0	0.0
2553	a19395e0-b09b-46fa-a8ff-eb20c023c389	331.19929014560154	30.0	0.0
2553	3888a019-1002-402c-ac5e-ff83b0649033	321.9827751560605	30.0	0.0
2553	1101d09c-28a8-4921-b598-a6df611abb30	312.815015485741	30.0	0.0
2553	6fa878ba-f071-44b9-a254-9f6b1d5b193d	303.6360745611217	30.0	0.0
2553	3f239e03-7f65-4fef-8965-50d26ee311f6	294.436940031454	30.0	0.0
2553	cb92b107-e570-4ba1-bea4-a28caca6306c	285.2742980613469	30.0	0.0
2553	c6a36d8f-7991-40b6-aed4-c5806327372f	276.06676947242954	30.0	0.0
2553	e99b2cf0-160f-4c16-bb58-972b62051558	266.8894602558491	30.0	0.0
2553	4662aade-4d15-4fb4-a316-03e661b61575	257.71058774047407	30.0	0.0
2553	fefad522-f804-4c99-9022-8efe173192be	248.52540600253295	30.0	0.0
2553	5c2bbe5e-97ba-4c4a-b400-4970ca8a2a1f	239.35511446605187	30.0	0.0
2553	6824a677-f291-4e87-a59e-77b02ecd1ed3	230.15646766379552	30.0	0.0
2553	b9947673-1ddb-4701-9764-041179b37915	220.99363687463983	30.0	0.0
2553	000b69e7-cdb9-4cc4-8876-d701dffe5d5f	211.81126995902454	30.0	0.0
2553	1aaf30aa-0101-4732-8d6d-b5ebbfed85a9	202.58741236152804	30.0	0.0
2553	d47d5737-61d5-456d-894d-0a5dc5a58a49	193.3749467971248	30.0	0.0
2553	2823e57c-ae84-49fa-b8c5-ef48cef21e91	184.19656411210318	30.0	0.0
2553	6efb91cc-ce07-4af1-b40a-759a0b17db70	180.0	40.73159585343614	0.0
2553	ac1a6099-9a04-4568-8c3d-92b7dffb2dd9	180.0	49.91648244853751	0.0
2553	58ef50aa-07ea-4178-998b-245725181a9a	180.0	59.12668193515071	0.0
2553	b2b09731-ec97-474f-b667-9818031f9745	180.0	68.28823878154058	0.0
2553	90b3e74c-410a-4406-bab0-4e2f8a94a39c	180.0	77.48466022616654	0.0
2553	39733f21-99db-4345-80f3-a8c48679374c	180.0	86.68979015123669	0.0
2553	ca6882b8-64d1-408e-901e-9ab43a451d95	180.0	95.85159029519991	0.0
2553	234ce838-dfb9-4fce-b437-54b6dca7ecf0	180.0	105.03309214529497	0.0
2553	7b79c137-259d-469e-becc-9e2c6c3ef602	180.0	114.24973425500131	0.0
2553	fa88fe20-2e26-4e21-a59c-4889840b6e9f	180.0	123.43656364439396	0.0
