t	x	y	v
65	30.0	253.30566901587184	8.495468254380233	
65	30.0	290.2762027990394	9.782089292843198	
65	30.0	327.523647766112	10.199566899761061	
65	30.0	365.0953717561123	10.524258334464395	
65	48.778966764488715	30.0	10.6746279465368	
65	90.36733829249405	30.0	10.695010428344165	
65	133.13972716367326	30.0	10.976764749216418	
65	180.0	48.13850769491999	11.456368648480783	
65	110.29059669912041	210.0	9.789396275266357	
65	147.6603448414345	210.0	10.250434185734143	
65	30.0	166.69434562714773	8.495455460766802	
65	30.0	129.72469383946597	9.781449554073584	
65	30.0	92.48943102272457	10.192798861285945	
65	30.0	54.94539557287841	10.546754850818358	
65	180.0	383.31786095356074	11.457065668985623	
65	49.24276594133165	390.0	10.747983216015625	
65	91.29837970072866	390.0	10.829782726502184	
65	141.98184081266365	390.0	10.78253349798968	
65	199.25788468002852	210.0	10.461126861200585	
65	230.34899765091387	210.0	10.815715511106138	
65	281.64954056272677	210.0	10.688002223730843	
65	324.55696249358425	210.0	10.99007366682208	
65	375.71465053188973	210.0	11.48746501287187	
66	180.0	59.58835860502772	11.449850910107736	
66	59.9570853288927	390.0	10.714319387561057	
66	102.13014320825005	390.0	10.83176350752138	
66	152.79877901521837	390.0	10.81693820255472	
66	209.6223015978799	210.0	10.364416917851374	
66	241.16708590761337	210.0	10.818088256699507	
66	292.3471291325295	210.0	10.697588569802736	
66	335.5561537329484	210.0	10.999191239364153	
66	387.2036496663559	210.0	11.48899913446617	
66	120.24414218130424	210.0	9.953545482183827	
66	158.08143809243003	210.0	10.421093250995543	
66	59.42421995184445	30.0	10.645253187355731	
66	101.06737715106728	30.0	10.700038858573228	
66	144.18033533868444	30.0	11.04060817501118	
66	30.0	262.28097920688435	8.975310191012536	
66	30.0	300.21791137377636	9.941708574736953	
66	30.0	337.7877686062658	10.264120840153808	
66	30.0	375.71882615951506	10.62345440340277	
66	30.0	157.71908906136778	8.97525656577995	
66	30.0	119.78430170095253	9.94039213851344	
66	30.0	82.22742593580966	10.262005086914911	
66	30.0	44.31108806008033	10.634307512798083	
66	180.0	371.8648492188801	11.453011734680606	
67	30.0	148.36924008622074	9.349848975147047	
67	30.0	109.72491269689247	10.059389004060053	
67	30.0	71.904604995686	10.32282094012366	
67	30.0	33.67767764261614	10.633410417464189	
67	219.9410811210272	210.0	10.318779523147304	
67	251.98690257789306	210.0	10.819816670279684	
67	303.0546012936858	210.0	10.707472161156288	
67	346.56403504051747	210.0	11.007881307569075	
67	398.69384277483465	210.0	11.490193108478781	
67	180.0	360.4154769382285	11.449372280651618	
67	180.0	71.0335721294962	11.445213524468492	
67	70.65005626219573	390.0	10.692970933303037	
67	112.96583644426751	390.0	10.835693236017468	
67	163.6848446689223	390.0	10.88606565370392	
67	30.0	271.6309779320568	9.349998725172421	
67	30.0	310.2785762915445	10.060664917768115	
67	30.0	348.11088517238045	10.323116566114683	
67	30.0	386.4147732861951	10.695947126680023	
67	70.05094667519826	30.0	10.626726723353814	
67	111.77976362288864	30.0	10.712386471821366	
67	155.27080883667043	30.0	11.090473497985975	
67	130.33323390236936	210.0	10.089091721065122	
67	168.62979361534758	210.0	10.548355522917541	
68	140.53328414699547	210.0	10.20005024462611	
68	40.01857102032091	30.0	10.696248662937053	
68	80.66745006938176	30.0	10.6165033941835	
68	122.50822195308587	30.0	10.728458330197222	
68	166.38337703397846	30.0	11.112568197308041	
68	180.0	348.9760057773741	11.439471160854398	
68	30.0	138.73240188760911	9.63683819861162	
68	30.0	99.57556039066556	10.149352306226913	
68	30.0	61.5378230744572	10.366781921228798	
68	40.1632457968023	390.0	10.7484725106072	
68	81.33031570771912	390.0	10.680259445523392	
68	123.8097625695769	390.0	10.84392612530939	
68	174.62389971994128	390.0	10.939055051018991	
68	30.0	281.2680545717418	9.637076639685027	
68	30.0	320.42895469069185	10.150378399147371	
68	30.0	358.48607275133503	10.375187578954556	
68	180.0	82.46628389840558	11.432711768909375	
68	192.72240282192328	210.0	10.493457888162132	
68	230.24265375800994	210.0	10.301572636982732	
68	262.80805617743073	210.0	10.821153599537663	
68	313.77206449364604	210.0	10.71746319996028	
68	357.580204516282	210.0	11.016169475764492	
68	410.1849535751253	210.0	11.491110800290665	
69	30.0	291.12165754814225	9.853602976400474	
69	30.0	330.64800258120715	10.219047890515322	
69	30.0	368.93356658129755	10.44749382996252	
69	30.0	128.87909509195612	9.853306795652998	
69	30.0	89.35843494463386	10.217125446031696	
69	30.0	51.102221278457854	10.435601795999347	
69	150.89327055603053	210.0	10.359986409035068	
69	50.658086645266025	30.0	10.639515624945108	
69	91.27990355663768	30.0	10.612453487255916	
69	133.252665154087	30.0	10.74444320100114	
69	50.85100312510621	390.0	10.687757328303908	
69	92.00427740059392	390.0	10.6739616928748	
69	134.66397409930275	390.0	10.85421152972585	
69	180.0	41.6133158349941	11.100447947459035	
69	180.0	93.8872992561719	11.42101535776633	
69	180.0	370.651543630111	10.787878964612336	
69	180.0	337.54589088514183	11.430114892232279	
69	203.1447805921825	210.0	10.422377770259224	
69	240.5432490297871	210.0	10.300595271777159	
69	273.6303252302434	210.0	10.82226905281266	
69	324.49949777044327	210.0	10.727433276797234	
69	368.60428658702546	210.0	11.024082070743502	
69	421.67675692308967	210.0	11.491803347964371	
70	61.25957537810899	30.0	10.601488732842967	
70	101.89259363703678	30.0	10.612690080399108	
70	144.07168927946663	30.0	10.81902412537964	
70	161.36753337067256	210.0	10.474262814642042	
70	30.0	118.8645737409919	10.014521350964214	
70	30.0	79.08539484396698	10.273040100666872	
70	30.0	40.56069372846559	10.541527549992267	
70	30.0	301.1366265710738	10.014969022931576	
70	30.0	340.92409093032836	10.276088349121206	
70	30.0	379.4271221898042	10.493555608506647	
70	180.0	52.69327866667136	11.079962831677268	
70	180.0	105.29785803459689	11.410558778424987	
70	61.49780578754832	390.0	10.646802662442115	
70	102.67659489345229	390.0	10.672317492858369	
70	145.56786178971868	390.0	10.90388769041594	
70	180.0	359.94340996715323	10.708133662957799	
70	180.0	326.12420279940227	11.421688085739579	
70	213.52069213056254	210.0	10.375911538380027	
70	250.8521539461018	210.0	10.308904916314715	
70	284.4536015439264	210.0	10.82327631368304	
70	335.2367945480316	210.0	10.737296777588288	
70	379.6359314627465	210.0	11.031644875721065	
70	433.16906854295047	210.0	11.492311619860807	
71	180.0	63.759021143570756	11.065742476899393	
71	180.0	116.69919112117299	11.401333086576104	
71	33.057094854918454	30.0	10.61778858338404	
71	71.83612922232201	30.0	10.576553844213025	
71	112.51515369357847	30.0	10.62256005654168	
71	154.96990865548554	30.0	10.898219376018902	
71	30.0	108.73062132936444	10.133952411627458	
71	30.0	68.75941279827542	10.325982045691555	
71	30.0	311.27128394458947	10.134657373515662	
71	30.0	351.2461606998014	10.322069769473028	
71	180.0	349.2757925908431	10.667617376310162	
71	180.0	314.70999006400626	11.41421273539602	
71	171.92178726493307	210.0	10.554253894260524	
71	43.23034180916645	390.0	10.280870721134988	
71	72.11751207586433	390.0	10.619706288316001	
71	113.35476310428525	390.0	10.67816821083297	
71	156.52689818892162	390.0	10.959036399202931	
71	223.86752183031325	210.0	10.346829699750703	
71	261.1745777493157	210.0	10.322423803213892	
71	295.27785152550945	210.0	10.824249981583002	
71	345.9837924311707	210.0	10.746997883139091	
71	390.6748138605383	210.0	11.038882397791763	
71	444.66173673198534	210.0	11.492668189034895	
72	53.39469046473334	390.0	10.164348655566888	
72	82.7204374024665	390.0	10.602925326602174	
72	124.04463459047582	390.0	10.68987148619057	
72	167.5024399117884	390.0	10.975541722866787	
72	185.57214981292842	210.0	10.65036254799533	
72	234.19748635058926	210.0	10.329964520275997	
72	271.51329181768364	210.0	10.338714068367933	
72	306.1030899117094	210.0	10.825238386199969	
72	356.740293894938	210.0	10.75650146376731	
72	401.7206313449014	210.0	11.045817484363132	
72	456.1546356496563	210.0	11.492898917670946	
72	30.0	98.50752274067824	10.2230985886862	
72	30.0	58.35761028624326	10.401802512032164	
72	180.0	74.81515334359266	11.056132200021896	
72	180.0	128.0961165624627	11.396925441289708	
72	43.616316832529584	30.0	10.55922197761113	
72	82.39782929510041	30.0	10.56170007277839	
72	123.15486750900753	30.0	10.639713815429067	
72	165.92880345593585	30.0	10.9588948004503	
72	180.0	338.6254178488528	10.650374741990294	
