t	d	v	
175	750.0	1.405774374996677	
175	795.7502208150377	8.21046986943224	
175	817.7992994406723	8.97676341494358	
175	872.6332049925599	9.433942514929994	
175	930.3407713413193	9.07866900982798	
175	983.0208948200657	9.368274300784858	
175	1068.0430754498186	9.544559950825295	
175	1126.876903620631	9.562751283740019	
175	1156.5277598366542	9.5527072293341	
175	1276.4940882485625	9.913157578370381	
175	853.4526758521864	10.65917688078852	
175	132.30054753129295	10.809629647021406	
175	68.68158713866472	8.030183026134313	
175	46.97575579809259	0.0	
175	32.64451182496805	1.2174086308966128	
175	20.837047339104146	2.417045976476378	
175	11.052782588123534	0.0	
175	730.9537477109905	11.140521380172325	
175	670.1127929058736	10.984505622054362	
175	609.9710650652813	10.563632753660068	
175	570.4647561146362	10.957405843220442	
175	520.740791582747	11.435853961071846	
175	354.18820562457415	11.0863042741147	
175	287.7559849612143	10.8024600039652	
175	239.31239780580685	10.859709579907218	
175	189.968869372805	11.058876083974972	
176	864.1309881446741	10.678312292487657	
176	719.837917112006	11.11583059898445	
176	659.1382414303483	10.974551475525235	
176	599.391868547602	10.579196517679314	
176	559.4987808851619	10.96597522947434	
176	509.3052669377546	11.435524644992388	
176	343.10466450252164	11.083541122052535	
176	276.95093570071805	10.805049260496286	
176	228.44578956696643	10.866608238840424	
176	750.0	2.37194459182325	
176	804.1870197185432	8.43679890350549	
176	826.8914686387924	9.092169198120178	
176	882.0564233367859	9.423218344225978	
176	939.442939778691	9.10216843737167	
176	992.3976643238416	9.376769503775897	
176	1077.5889660741873	9.545890624368774	
176	1136.441579071079	9.564675450447893	
176	1166.0870025230513	9.559242686397118	
176	1286.4998930706568	10.005804822094078	
176	165.01667508791348	10.918694642563763	
176	121.6088411485747	10.691706382718245	
176	66.69666524662355	1.984921892041184	
176	45.56219913936519	1.4135566587273964	
176	30.301669491896945	2.342842333071098	
176	20.837047339104146	0.0	
176	9.601896892301426	1.4508856958221088	
177	753.3394958297881	3.6105536748210607	
177	812.7967850835377	8.609765364994434	
