t	x	y	v
205	30.0	210.0	0.0	
205	30.0	210.0	0.0	
205	30.0	210.0	0.0	
205	30.0	210.0	0.0	
205	31.49998813105687	210.0	1.49998813105687	
205	30.0	210.0	0.0	
205	30.0	210.0	0.0	
205	30.0	210.0	0.0	
205	30.0	210.0	0.0	
205	30.0	211.49994177075146	1.4999417707514484	
205	30.0	210.0	0.0	
205	30.0	210.0	0.0	
205	30.0	210.0	0.0	
205	30.0	210.0	0.0	
205	30.0	208.50005822924854	1.4999417707514484	
206	30.0	210.0	0.0	
206	30.0	210.0	0.0	
206	30.0	210.0	0.0	
206	30.0	210.0	0.0	
206	34.42927933694671	210.0	2.9292912058898413	
206	30.0	210.0	0.0	
206	30.0	210.0	0.0	
206	30.0	210.0	0.0	
206	30.0	210.0	0.0	
206	30.0	205.57095360496055	2.929104624287997	
206	30.0	210.0	0.0	
206	30.0	210.0	0.0	
206	30.0	210.0	0.0	
206	30.0	210.0	0.0	
206	30.0	214.42904639503945	2.929104624287997	
207	30.0	210.0	0.0	
207	30.0	210.0	0.0	
207	30.0	210.0	0.0	
207	30.0	210.0	0.0	
207	30.0	218.66496970034947	4.235923305310015	
207	30.0	210.0	0.0	
207	30.0	210.0	0.0	
207	30.0	210.0	0.0	
207	30.0	210.0	0.0	
207	30.0	201.33503029965053	4.235923305310015	
207	30.0	210.0	0.0	
207	30.0	210.0	0.0	
207	30.0	210.0	0.0	
207	30.0	210.0	0.0	
207	38.66566144703626	210.0	4.2363821100895445	
208	30.0	210.0	0.0	
208	30.0	210.0	0.0	
208	30.0	210.0	0.0	
208	30.0	210.6551751125844	0.6551751125844036	
208	30.0	224.06496953553	5.3999998351805205	
208	30.0	210.0	0.0	
208	30.0	210.0	0.0	
208	30.0	210.0	0.0	
208	30.0	209.3448248874156	0.6551751125844036	
208	30.0	195.93503046447	5.3999998351805205	
208	30.0	210.0	0.0	
208	30.0	210.0	0.0	
208	30.0	210.0	0.0	
208	30.655613524589107	210.0	0.6556135245891087	
208	44.06654526844718	210.0	5.4008838214109245	
209	30.0	210.0	0.0	
209	30.0	210.0	0.0	
209	30.0	210.0	0.0	
209	30.0	207.3193270046244	2.02549788279119	
209	30.0	189.51855563992	6.416474824549989	
209	30.0	210.0	0.0	
209	30.0	210.0	0.0	
209	30.0	210.0	0.0	
209	30.0	212.6806729953756	2.02549788279119	
209	30.0	230.48144436008	6.416474824549989	
209	30.0	210.0	0.0	
209	30.0	210.0	0.0	
209	30.0	210.0	0.0	
209	32.6815628809024	210.0	2.0259493563132933	
209	50.48448829671909	210.0	6.417943028271917	
210	30.0	210.0	0.0	
