t	id	d	v	
2575	b32d1ceb-b56d-4e4c-90d2-b53743e5046c	-555.8867553353178	0.0
2575	aa67455b-43ae-4147-a56d-85ce46b50c6c	-546.7209011887813	0.0
2575	fdf38317-96cb-4d64-a389-dedd6d98030a	-537.5032377595074	0.0
2575	8a0f38e2-a95a-4d5a-ae6f-9c2e2256ef5a	-528.3411806488966	0.0
2575	41e25ac5-4e6d-493e-8293-176894045b9c	-519.1453359144896	0.0
2575	4b3fc658-6df5-469e-b082-0560c97979ac	-509.9651304545986	0.0
2575	2c9cd52f-eaee-4ffc-8fb9-c46f273dc498	-500.7922571820495	0.0
2575	c79f1fe6-a3a0-41c9-a5fa-b6232a538343	-491.5698818551273	0.0
2575	955172e4-4cd2-478b-99fe-ca809c13428e	-482.4075920546984	0.0
2575	d0299af7-65dc-4d20-8df1-dfdf14790de8	-473.2158191485367	0.0
2575	501ff1cf-7a8d-4804-9c09-400408b23171	-464.0194397760895	0.0
2575	2a1906b0-1f15-43ab-8541-1d7a681cd03e	-454.8562506164526	0.0
2575	c64322a1-74f2-4701-896e-43983b71e7dd	-445.652904466309	0.0
2575	6baeb347-28c0-4caf-8502-68fad85d7f15	-436.46760400428474	0.0
2575	c44fe5e8-8baa-4d8a-aa2c-4e195997e90a	-427.30309899226694	0.0
2575	5fb6c154-9b47-4a5e-b09f-ced9b8cb454d	-418.09914617831225	0.0
2575	42b8be10-0e44-4707-b09d-002324790d8b	-408.9114308405472	0.0
2575	dd6e5728-aa6d-40c8-8f24-d641e44f27c2	-399.74795563552317	0.0
2575	886a948f-82bb-413c-8fd2-5a31de84c7a5	-390.54635082214025	0.0
2575	cc33948c-b615-48a7-ab34-a74d863cb7d8	-381.35521829052743	0.0
2575	7885c0c6-bc67-4a13-9e1a-b702b1f31c12	-372.19234112607825	0.0
2575	c12564c3-2105-4df5-96c3-0c682de9c040	-362.9918370482904	0.0
2575	460d7fc8-696a-4b90-bdba-1b3a218bbe80	-353.7984615841917	0.0
2575	4b2a7239-1556-4e73-993a-2a614d92fb61	-344.636431079095	0.0
2575	946e267c-85e8-4f98-a375-94cffd3f0a94	-335.44278257795037	0.0
2575	d969d69b-e2d3-4caa-b08c-a2b22e3f83cb	-326.2188642940687	0.0
2575	1e38649b-30f1-4d6c-93aa-1737410d1c00	-317.02277762637107	0.0
2575	c2fc451d-5afb-446a-b0b5-0406398abb7f	-307.84290544867264	0.0
2575	064d33c1-7e07-4be8-8ceb-404077a55115	-298.6692089986368	0.0
2575	0d7ce4b7-4611-43ec-93dc-59c833851ae1	-289.4981915915511	0.0
2575	d6f5ca95-2b7e-49c9-a830-07da43b14a74	-280.3286555616968	0.0
2575	18c19672-05b8-4647-8892-d1b2f3502ae9	-271.1600960454366	0.0
2575	052e13e2-dd86-4b5f-80c4-a8bc5b8c3dd1	-261.99221206860494	0.0
2575	1e36b5f2-a613-4efa-a2be-4464c0de7dad	-252.82475761661465	0.0
2575	d3b1ee50-c30a-4855-88ec-bd45bd454a70	-243.65750016550118	0.0
2575	990da698-f604-4e17-a0ac-870e29ae4481	-234.4902174926554	0.0
2575	ebba1dd7-8323-4356-83cd-85d120a3e13d	-225.32270438344244	0.0
2575	68ba1a00-b72a-4187-afb7-bb632e51df18	-216.15477675234308	0.0
2575	f7df4b7c-5a2a-45f3-a296-b8b65f5227d5	-206.9862735977007	0.0
2575	0f31557d-eb32-416e-a67e-616444e00415	-197.81705087490468	0.0
2575	b79ff6f8-938f-4e28-8df1-6a52794ffd73	-188.64695881325952	0.0
2575	ec53b685-cd10-4694-9a2e-d97eebb4c12d	-179.47581538626252	0.0
2575	2e203117-546b-4f51-a522-2948babf2c73	-170.30338489908297	0.0
2575	e29d90af-0b87-4ac6-8dfd-652f6680d641	-161.1293471225523	0.0
2575	df4cfcd2-cce6-4f1a-9216-b7c5f82e96b6	-151.95345612905908	0.0
2575	dc31d961-a091-4fcb-9462-5d7a22a83435	-142.7740341939134	0.0
2575	76efaf57-4d6a-4f12-bd16-e7b3fbb88100	-133.59647395166053	0.0
2575	18898c98-0c71-4022-8de5-8b6acea07652	-124.43920853381077	0.0
2575	9ff7d5b1-aa88-4bca-94b1-de0557dc473f	-115.39496669907113	0.0
2575	02ac8885-e652-48a3-80e1-96c2ac0c3293	-106.53184164165852	0.0
2575	865e14f0-b58d-458e-aced-c62d6e370e6b	-97.80672169715673	0.0
2575	5924a9f6-db61-4da5-b883-a8a4b689eeb0	-89.11061783053357	0.0
2575	f884cfff-9a29-42bc-8d5c-a820dc0d83f1	-80.39329207523475	0.0
2575	03aa4524-995b-40dd-ae74-894c0d7cdbf8	-71.65017035439395	0.0
2575	89a8b071-639d-402e-81d0-09217e63e4d3	-62.89162586009002	0.0
2575	81ce6e6e-d375-4386-abc9-6345af637bde	-54.15121664752758	0.0
2575	8cdc3e8e-ad57-48f3-aa0b-7ce17692d647	-45.436264667458666	0.0
2575	d61e6db4-abbd-4910-90a3-88b060d93d58	-36.73701671605853	0.0
