t	x	y	v
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	31.49998813105687	210.0	1.49998813105687	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	208.50005822924854	1.4999417707514484	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	210.0	0.0	
56	30.0	211.49994177075146	1.4999417707514484	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
57	30.0	210.0	0.0	
