t	x	y	v
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	211.49994177075146	1.4999417707514484	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	31.49998813105687	210.0	1.49998813105687	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	210.0	0.0	
73	30.0	208.50005822924854	1.4999417707514484	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	214.42904639503945	2.929104624287997	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	34.42927933694671	210.0	2.9292912058898413	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	210.0	0.0	
74	30.0	205.57095360496055	2.929104624287997	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	218.66496970034947	4.235923305310015	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	201.33503029965053	4.235923305310015	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
75	30.0	210.0	0.0	
